model_sender,model_receiver,fliprate,flip_count,total_count
llama-3.2-3b,qwen-2.5-7b,0.7143127245225941,3778,5289
llama-3.2-3b,qwen-2.5-1.5b,0.9989181487149718,75714,75796
llama-3.2-3b,mistral-0.3-7b,0.19934640522875818,488,2448
llama-3.2-3b,mistral-0.2-7b,0.9580660603159407,10007,10445
qwen-2.5-7b,llama-3.2-3b,0.3434076312806951,1818,5294
qwen-2.5-7b,qwen-2.5-1.5b,0.9992901210666254,77423,77478
qwen-2.5-7b,mistral-0.3-7b,0.17254476397178514,954,5529
qwen-2.5-7b,mistral-0.2-7b,0.9012622487958811,10853,12042
qwen-2.5-1.5b,llama-3.2-3b,0.02143912607525463,1625,75796
qwen-2.5-1.5b,qwen-2.5-7b,0.05857946099657468,4532,77365
qwen-2.5-1.5b,mistral-0.3-7b,0.04494422497328322,3743,83281
qwen-2.5-1.5b,mistral-0.2-7b,0.35941197561850124,25060,69725
mistral-0.3-7b,llama-3.2-3b,0.9697712418300654,2374,2448
mistral-0.3-7b,qwen-2.5-7b,0.9746743849493488,5388,5528
mistral-0.3-7b,qwen-2.5-1.5b,0.9994716682076344,83237,83281
mistral-0.3-7b,mistral-0.2-7b,0.9517887189991953,13010,13669
mistral-0.2-7b,llama-3.2-3b,0.1601723312589756,1673,10445
mistral-0.2-7b,qwen-2.5-7b,0.30475240943835163,3668,12036
mistral-0.2-7b,qwen-2.5-1.5b,0.9997131588382933,69705,69725
mistral-0.2-7b,mistral-0.3-7b,0.12568585851196137,1718,13669
