Host: desktop12.hpc.itu.dk
      model_sender  model_receiver   count
0    qwen-2.5-1.5b  mistral-0.3-7b  832729
1   mistral-0.3-7b   qwen-2.5-1.5b  831173
2      qwen-2.5-7b   qwen-2.5-1.5b  774726
3    qwen-2.5-1.5b     qwen-2.5-7b  774701
4    qwen-2.5-1.5b    llama-3.2-3b  757888
5     llama-3.2-3b   qwen-2.5-1.5b  757671
6    qwen-2.5-1.5b  mistral-0.2-7b  697186
7   mistral-0.2-7b   qwen-2.5-1.5b  692104
8   mistral-0.2-7b  mistral-0.3-7b  136584
9   mistral-0.3-7b  mistral-0.2-7b  136494
10     qwen-2.5-7b  mistral-0.2-7b  120413
11  mistral-0.2-7b     qwen-2.5-7b  120150
12    llama-3.2-3b  mistral-0.2-7b  104396
13  mistral-0.2-7b    llama-3.2-3b  104291
14     qwen-2.5-7b  mistral-0.3-7b   55290
15  mistral-0.3-7b     qwen-2.5-7b   55195
16     qwen-2.5-7b    llama-3.2-3b   52939
17    llama-3.2-3b     qwen-2.5-7b   52917
18    llama-3.2-3b  mistral-0.3-7b   24477
19  mistral-0.3-7b    llama-3.2-3b   24453
Saved df with 12 rows.
