model_sender,model_receiver,fliprate,flip_count,total_count
llama-3.2-3b,qwen-2.5-7b,0.0777496839443742,123,1582
llama-3.2-3b,qwen-2.5-1.5b,0.0,0,0
llama-3.2-3b,mistral-0.3-7b,0.17124735729386892,405,2365
llama-3.2-3b,mistral-0.2-7b,0.7467018469656992,566,758
qwen-2.5-7b,llama-3.2-3b,0.06364617044228695,236,3708
qwen-2.5-7b,qwen-2.5-1.5b,1.0,80,80
qwen-2.5-7b,mistral-0.3-7b,0.15776877761413843,857,5432
qwen-2.5-7b,mistral-0.2-7b,0.7049582719685813,1436,2037
qwen-2.5-1.5b,llama-3.2-3b,0.02143912607525463,1625,75796
qwen-2.5-1.5b,qwen-2.5-7b,0.05761790774406418,4453,77285
qwen-2.5-1.5b,mistral-0.3-7b,0.04494422497328322,3743,83281
qwen-2.5-1.5b,mistral-0.2-7b,0.3582574211902641,24934,69598
mistral-0.3-7b,llama-3.2-3b,0.1566265060240964,13,83
mistral-0.3-7b,qwen-2.5-7b,0.28865979381443296,28,97
mistral-0.3-7b,qwen-2.5-1.5b,0.0,0,0
mistral-0.3-7b,mistral-0.2-7b,0.8,4,5
mistral-0.2-7b,llama-3.2-3b,0.09445648807680396,915,9687
mistral-0.2-7b,qwen-2.5-7b,0.1646,1646,10000
mistral-0.2-7b,qwen-2.5-1.5b,1.0,127,127
mistral-0.2-7b,mistral-0.3-7b,0.12536592505854802,1713,13664
