model_sender,model_receiver,label_sender_agg,n_unique_claims
llama-3.2-3b,qwen-2.5-7b,literal,2
llama-3.2-3b,qwen-2.5-7b,sarcastic,5294
mistral-0.2-7b,llama-3.2-3b,literal,8685
mistral-0.2-7b,llama-3.2-3b,sarcastic,1786
mistral-0.3-7b,llama-3.2-3b,literal,2447
mistral-0.3-7b,llama-3.2-3b,sarcastic,7
qwen-2.5-1.5b,llama-3.2-3b,literal,62950
qwen-2.5-1.5b,llama-3.2-3b,sarcastic,16965
qwen-2.5-1.5b,qwen-2.5-7b,literal,8
qwen-2.5-1.5b,qwen-2.5-7b,sarcastic,6601
qwen-2.5-7b,llama-3.2-3b,literal,711
qwen-2.5-7b,llama-3.2-3b,sarcastic,5202
