model_sender,model_receiver,fliprate,flip_count,total_count
llama-3.2-3b,qwen-2.5-7b,0.9859724844888049,3655,3707
llama-3.2-3b,qwen-2.5-1.5b,0.9989181487149718,75714,75796
llama-3.2-3b,mistral-0.3-7b,1.0,83,83
llama-3.2-3b,mistral-0.2-7b,0.9746051409104987,9441,9687
qwen-2.5-7b,llama-3.2-3b,0.9974779319041615,1582,1586
qwen-2.5-7b,qwen-2.5-1.5b,0.9992893873226698,77343,77398
qwen-2.5-7b,mistral-0.3-7b,1.0,97,97
qwen-2.5-7b,mistral-0.2-7b,0.9412293853073463,9417,10005
qwen-2.5-1.5b,llama-3.2-3b,0.0,0,0
qwen-2.5-1.5b,qwen-2.5-7b,0.9875,79,80
qwen-2.5-1.5b,mistral-0.3-7b,0.0,0,0
qwen-2.5-1.5b,mistral-0.2-7b,0.9921259842519685,126,127
mistral-0.3-7b,llama-3.2-3b,0.99830866807611,2361,2365
mistral-0.3-7b,qwen-2.5-7b,0.9869269011231817,5360,5431
mistral-0.3-7b,qwen-2.5-1.5b,0.9994716682076344,83237,83281
mistral-0.3-7b,mistral-0.2-7b,0.951844262295082,13006,13664
mistral-0.2-7b,llama-3.2-3b,1.0,758,758
mistral-0.2-7b,qwen-2.5-7b,0.9931237721021611,2022,2036
mistral-0.2-7b,qwen-2.5-1.5b,0.9997126354205581,69578,69598
mistral-0.2-7b,mistral-0.3-7b,1.0,5,5
